Total Cl- concentration;BF(OH)3-;BF2(OH)2-;BF3OHF-;BF4-;Br-1;Ca+2;CaCl+;CaCO3 (aq);CaF+;CaH2BO3+;CaHCO3+;CaOH+;CaSO4 (aq);Cl-1;CO3-2;F-1;H+1;H10(BO3)4-2;H2BO3-;H2CO3* (aq);H2SiO4-2;H3BO3;H3SiO4-;H4SiO4;H4SiO4SO4-2;H5(BO3)2-;H8(BO3)3-;HCO3-;HF (aq);HF2-;HSO4-;K+1;KCl (aq);KF (aq);KOH (aq);KSO4-;Mg+2;Mg2CO3+2;MgCl+;MgCO3 (aq);MgF+;MgH2BO3+;MgHCO3+;MgOH+;MgSO4 (aq);Mn(OH)4-2;Mn+2;Mn2(OH)3+;Mn2OH+3;MnBr+;MnCl+;MnCl2 (aq);MnCl3-;MnCO3 (aq);MnF+;MnHCO3+;MnOH+;MnSO4 (aq);Na+1;NaCl (aq);NaCO3-;NaF (aq);NaH2BO3 (aq);NaHCO3 (aq);NaOH (aq);NaSO4-;OH-;SiF6-2;SO4-2;Sr+2;SrCl+;SrCO3 (aq);SrF+;SrH2BO3+;SrHCO3+;SrOH+;SrSO4 (aq);;
0,1;5,3994E-10;7,8313E-15;4,1336E-22;2,7594E-28;0,00063802;0,0028217;0,00044809;0,000042302;8,1292E-07;9,4984E-07;0,000044161;8,7209E-08;0,00021104;0,063219;9,0332E-06;0,000020871;6,3779E-09;4,0355E-16;5,9038E-06;0,000017628;7,7533E-12;0,000064835;7,8372E-07;0,000034581;3,256E-09;3,258E-10;2,1123E-12;0,0012289;2,0147E-10;1,674E-14;2,0348E-10;0,34863;0,00068063;0,000021566;6,493E-09;0,000094465;1,8321E-09;1,5731E-06;0,014294;7,1804E-06;0,0035975;0,0001074;0,000023697;2,8993E-06;0,00018017;8,4178E-06;0,00084918;9,158E-25;3,1741E-09;4,7138E-17;3,92E-20;2,7955E-12;2,0066E-10;2,2559E-11;3,9279E-13;1,437E-09;2,0949E-12;7,7829E-11;1,235E-11;1,8428E-10;0,33949;0,010756;0,000057104;7,4192E-06;3,1474E-06;0,00020909;6,6201E-07;0,00060907;0,000001549;7,7245E-36;0,00032647;0,000026123;2,5579E-06;1,5236E-07;1,9795E-09;5,4221E-09;5,2066E-07;2,6735E-10;1,7017E-06
0,15;5,51E-10;7,98E-15;4,21E-22;2,81E-28;0,0006377;0,0027336;0,00065299;0,000042266;8,06E-07;9,40E-07;0,000043067;8,65E-08;0,00020774;0,095099;9,32E-06;0,000021355;6,23E-09;4,19E-16;6,03E-06;0,000017321;8,12E-12;0,000064656;8,02E-07;0,000034519;3,30E-09;3,32E-10;2,15E-12;0,0012371;2,01E-10;1,71E-14;2,02E-10;0,31879;0,00067862;0,000032345;6,62E-09;0,000086127;1,87E-09;1,59E-06;0,013637;6,74E-06;0,0051629;0,00010568;0,000023132;2,83E-06;0,00017303;8,23E-06;0,00082318;9,90E-25;3,12E-09;4,88E-17;3,87E-20;2,74E-12;2,96E-10;5,01E-11;1,31E-12;1,46E-09;2,10E-12;7,69E-11;1,24E-11;1,84E-10;0,33593;0,016011;0,000058277;7,51E-06;3,18E-06;0,00020828;6,71E-07;0,00061238;1,59E-06;8,04E-36;0,00033173;0,000025581;3,77E-06;1,54E-07;1,98E-09;5,42E-09;5,13E-07;2,68E-10;1,69E-06
0,2;5,62E-10;8,13E-15;4,29E-22;2,86E-28;0,00063779;0,0026564;0,00084878;0,000042275;8,00E-07;9,33E-07;0,000042126;8,60E-08;0,00020509;0,1272;9,59E-06;0,000021813;6,09E-09;4,35E-16;6,16E-06;0,00001705;8,49E-12;0,000064554;8,19E-07;0,000034501;3,35E-09;3,38E-10;2,18E-12;0,0012452;2,01E-10;1,75E-14;2,01E-10;0,29659;0,00067588;0,000043089;6,74E-09;0,000079805;1,91E-09;1,61E-06;0,013063;6,37E-06;0,0066149;0,00010419;0,000022633;2,76E-06;0,00016683;8,05E-06;0,00080107;1,06E-24;3,07E-09;5,05E-17;3,83E-20;2,70E-12;3,90E-10;8,82E-11;3,09E-12;1,47E-09;2,11E-12;7,62E-11;1,25E-11;1,84E-10;0,33264;0,021206;0,000059395;7,60E-06;3,22E-06;0,0002076;6,79E-07;0,00061604;1,62E-06;8,36E-36;0,00033701;0,000025117;4,95E-06;1,56E-07;1,99E-09;5,44E-09;5,07E-07;2,69E-10;1,69E-06
0,25;5,72E-10;8,26E-15;4,34E-22;2,89E-28;0,00063715;0,0025732;0,0010299;0,000042108;7,91E-07;9,21E-07;0,000041032;8,52E-08;0,0002014;0,15933;9,86E-06;0,000022267;5,95E-09;4,49E-16;6,28E-06;0,000016765;8,85E-12;0,00006433;8,35E-07;0,000034408;3,39E-09;3,44E-10;2,21E-12;0,0012521;2,01E-10;1,78E-14;1,99E-10;0,25926;0,00067464;0,000053874;6,87E-09;0,000069632;1,94E-09;1,63E-06;0,012487;5,98E-06;0,0079208;0,00010241;0,000022086;2,69E-06;0,00016037;0,000007874;0,00077633;1,14E-24;3,00E-09;5,17E-17;3,75E-20;2,64E-12;4,78E-10;1,35E-10;5,94E-12;1,48E-09;2,11E-12;7,50E-11;1,25E-11;1,82E-10;0,32902;0,026274;0,00006041;7,67E-06;3,24E-06;0,00020648;0,000000687;0,00061774;1,66E-06;8,62E-36;0,00034165;0,000024568;6,06E-06;1,56E-07;1,99E-09;5,42E-09;4,99E-07;2,69E-10;1,67E-06
0,3;5,81E-10;8,38E-15;4,40E-22;2,92E-28;0,00063656;0,0024953;0,0012007;0,000041922;7,82E-07;9,09E-07;0,000039994;8,43E-08;0,00019784;0,19157;1,01E-05;0,000022701;5,83E-09;4,62E-16;6,39E-06;0,000016498;9,21E-12;0,000064115;8,51E-07;0,000034319;3,43E-09;3,49E-10;2,24E-12;0,0012586;2,00E-10;1,81E-14;1,97E-10;0,22202;0,00067342;0,000064658;6,99E-09;0,000059521;1,98E-09;1,65E-06;0,01196;5,63E-06;0,0091216;0,00010071;0,000021567;2,63E-06;0,00015439;7,70E-06;0,00075326;1,21E-24;2,94E-09;5,28E-17;3,67E-20;2,58E-12;5,63E-10;1,92E-10;1,01E-11;1,49E-09;2,11E-12;7,38E-11;1,25E-11;1,81E-10;0,32548;0,03125;0,000061354;7,74E-06;3,27E-06;0,0002053;6,94E-07;0,00061905;1,69E-06;8,87E-36;0,0003461;0,000024046;7,13E-06;1,57E-07;1,98E-09;5,40E-09;4,91E-07;2,69E-10;1,66E-06
0,35;5,90E-10;8,49E-15;4,45E-22;2,95E-28;0,00063601;0,0024221;0,0013623;0,00004172;7,73E-07;8,97E-07;0,000039008;8,35E-08;0,00019441;0,22391;1,04E-05;0,000023118;5,71E-09;4,75E-16;6,50E-06;0,000016247;9,57E-12;0,00006391;8,66E-07;0,000034233;3,46E-09;3,53E-10;2,26E-12;0,0012646;2,00E-10;1,84E-14;1,96E-10;0,18485;0,00067221;0,000075437;7,10E-09;0,000049469;2,02E-09;1,67E-06;0,011476;5,32E-06;0,01023;0,000099071;0,000021074;2,56E-06;0,00014885;7,54E-06;0,00073168;1,29E-24;2,87E-09;5,37E-17;3,59E-20;2,52E-12;6,43E-10;2,56E-10;1,58E-11;1,49E-09;2,10E-12;7,25E-11;1,25E-11;1,79E-10;0,32201;0,036137;0,000062233;7,80E-06;3,29E-06;0,00020409;7,01E-07;0,00062001;1,73E-06;9,11E-36;0,00035037;0,000023548;8,17E-06;1,58E-07;1,98E-09;5,38E-09;4,83E-07;2,69E-10;1,65E-06
0,4;5,98E-10;8,59E-15;4,49E-22;2,97E-28;0,00063549;0,0023532;0,0015153;0,000041506;7,64E-07;8,86E-07;0,000038071;8,27E-08;0,0001911;0,25635;1,06E-05;0,000023518;5,60E-09;4,87E-16;6,60E-06;0,000016011;9,92E-12;0,000063713;8,81E-07;0,000034151;3,49E-09;3,58E-10;2,28E-12;0,0012704;1,99E-10;1,87E-14;1,94E-10;0,14776;0,000671;0,00008621;7,21E-09;0,000039472;2,05E-09;1,68E-06;0,01103;5,03E-06;0,011256;0,000097498;0,000020604;2,50E-06;0,00014371;7,39E-06;0,00071146;1,36E-24;2,81E-09;5,44E-17;3,50E-20;2,47E-12;7,21E-10;3,28E-10;2,32E-11;1,50E-09;2,09E-12;7,12E-11;1,24E-11;1,77E-10;0,31861;0,040935;0,000063053;7,85E-06;3,30E-06;0,00020286;7,07E-07;0,00062066;1,76E-06;9,33E-36;0,00035448;0,000023074;9,16E-06;1,58E-07;1,97E-09;5,36E-09;4,75E-07;2,69E-10;1,63E-06
0,45;6,06E-10;8,69E-15;4,53E-22;2,99E-28;0,00063501;0,0022883;0,0016605;0,000041281;7,55E-07;8,75E-07;0,000037178;8,19E-08;0,0001879;0,28887;1,09E-05;0,000023903;5,50E-09;5,00E-16;6,70E-06;0,000015787;1,03E-11;0,000063523;8,95E-07;0,000034072;3,52E-09;3,63E-10;2,30E-12;0,0012758;1,99E-10;1,89E-14;1,93E-10;0,11074;0,00066981;0,000096976;7,32E-09;0,000029529;2,09E-09;1,70E-06;0,010616;4,77E-06;0,012209;0,000095987;0,000020157;2,45E-06;0,00013891;7,24E-06;0,00069246;1,43E-24;2,75E-09;5,50E-17;3,40E-20;2,41E-12;7,94E-10;4,08E-10;3,24E-11;1,50E-09;2,08E-12;7,00E-11;1,24E-11;1,75E-10;0,31529;0,045647;0,000063817;7,89E-06;3,32E-06;0,00020159;7,12E-07;0,00062104;1,79E-06;9,53E-36;0,00035844;0,00002262;1,01E-05;1,59E-07;1,96E-09;5,33E-09;4,68E-07;2,68E-10;1,62E-06
0,5;6,13E-10;8,78E-15;4,57E-22;3,01E-28;0,00063455;0,002227;0,0017984;0,000041048;7,46E-07;8,64E-07;0,000036327;8,11E-08;0,00018482;0,32148;1,11E-05;0,000024273;5,41E-09;5,11E-16;6,80E-06;0,000015576;1,06E-11;0,00006334;9,09E-07;0,000033996;3,55E-09;3,67E-10;2,32E-12;0,0012809;1,99E-10;1,92E-14;1,91E-10;0,073773;0,00066863;0,00010773;7,42E-09;0,000019637;2,12E-09;1,71E-06;0,010233;4,52E-06;0,013097;0,000094533;0,00001973;2,39E-06;0,00013444;7,11E-06;0,00067457;1,50E-24;2,69E-09;5,53E-17;3,31E-20;2,35E-12;8,64E-10;4,94E-10;4,37E-11;1,50E-09;2,06E-12;6,86E-11;1,23E-11;1,73E-10;0,31202;0,050274;0,00006453;7,93E-06;3,33E-06;0,00020031;7,17E-07;0,00062117;1,83E-06;9,73E-36;0,00036226;0,000022186;1,10E-05;1,59E-07;1,96E-09;5,31E-09;4,61E-07;2,68E-10;1,60E-06
0,55;6,21E-10;8,86E-15;4,60E-22;3,03E-28;0,00063413;0,002169;0,0019296;0,00004081;7,37E-07;8,53E-07;0,000035516;8,04E-08;0,00018184;0,35417;1,13E-05;0,00002463;5,32E-09;5,23E-16;6,90E-06;0,000015375;1,09E-11;0,000063163;9,22E-07;0,000033923;3,58E-09;3,71E-10;2,34E-12;0,0012858;1,98E-10;1,94E-14;1,90E-10;0,036861;0,00066746;0,00011848;7,51E-09;9,79E-06;2,15E-09;1,73E-06;0,0098765;4,30E-06;0,013926;0,000093135;0,000019322;2,34E-06;0,00013025;6,97E-06;0,00065771;1,56E-24;2,62E-09;5,55E-17;3,21E-20;2,30E-12;9,29E-10;5,85E-10;5,71E-11;1,49E-09;2,04E-12;6,73E-11;1,22E-11;1,71E-10;0,30883;0,054818;0,000065196;7,96E-06;3,35E-06;0,00019901;7,22E-07;0,00062108;1,86E-06;9,91E-36;0,00036596;0,00002177;1,19E-05;1,59E-07;1,95E-09;5,28E-09;4,54E-07;2,67E-10;1,59E-06
0,6;6,28E-10;8,94E-15;4,64E-22;3,04E-28;0,00063372;0,002114;0,0020547;0,000040567;7,29E-07;8,43E-07;0,000034741;7,96E-08;0,00017896;0,38693;1,16E-05;0,000024974;5,23E-09;5,34E-16;6,99E-06;0,000015184;1,13E-11;0,000062992;9,35E-07;0,000033852;3,61E-09;3,75E-10;2,36E-12;0,0012904;1,98E-10;1,97E-14;1,89E-10;0,00066629;0,00012921;7,61E-09;2,19E-09;1,74E-06;9,54E-03;4,10E-06;0,014701;9,18E-05;0,000018932;2,29E-06;0,00012632;6,85E-06;0,00064177;1,63E-24;2,56E-09;5,56E-17;3,11E-20;2,24E-12;9,92E-10;6,82E-10;7,27E-11;1,49E-09;2,02E-12;6,60E-11;1,22E-11;1,68E-10;3,06E-01;5,93E-02;0,000065819;0,000007994;3,36E-06;1,98E-04;7,26E-07;0,00062078;1,89E-06;1,01E-35;3,70E-04;2,14E-05;0,000012807;1,60E-07;1,94E-09;5,25E-09;4,47E-07;2,66E-10;1,58E-06;;
0,65;6,33E-10;9,18E-15;4,84E-22;3,23E-28;0,00063634;0,0020964;0,0021985;0,000039514;7,23E-07;8,30E-07;0,000034359;7,76E-08;0,00017449;0,41749;1,14E-05;0,000024982;5,31E-09;5,35E-16;6,94E-06;0,000015376;1,10E-11;0,000063506;9,30E-07;0,000034171;3,58E-09;3,75E-10;2,38E-12;0,001287;2,01E-10;2,00E-14;1,89E-10;0,00066362;0,00013886;7,58E-09;2,14E-09;1,71E-06;9,38E-03;3,89E-06;0,015587;8,86E-05;0,00001861;2,24E-06;0,00012379;6,62E-06;0,00062005;1,52E-24;2,56E-09;5,25E-17;3,04E-20;2,24E-12;1,07E-09;7,92E-10;9,11E-11;1,45E-09;2,02E-12;6,56E-11;1,19E-11;1,65E-10;3,38E-01;7,08E-02;0,000071543;8,85E-06;3,69E-06;2,18E-04;7,90E-07;0,00067546;1,86E-06;1,09E-35;3,63E-04;2,14E-05;0,000013808;1,57E-07;1,94E-09;5,21E-09;4,46E-07;2,62E-10;1,55E-06;;
