NaCl conc;Mn(OH)4-2;Mn+2;Mn2(OH)3+;Mn2OH+3;MnCl+;MnCl2 (aq);MnCl3-;MnOH+
0,75;1,73E-25;0,00007512;5,00E-13;1,57E-12;0,000014943;0,000008223;1,71E-06;6,40E-09
1;1,26E-25;0,000064659;3,98E-13;1,08E-12;0,000018458;0,000013208;3,67E-06;5,74E-09
1,25;8,91E-26;0,000053877;3,07E-13;6,99E-13;0,000021057;0,000018597;6,45E-06;5,07E-09
1,5;6,21E-26;0,000043712;2,28E-13;4,28E-13;0,000022592;0,000023799;9,89E-06;4,38E-09
1,75;4,28E-26;0,000034798;1,64E-13;2,53E-13;0,000023137;0,000028358;1,37E-05;3,72E-09
2;2,93E-26;0,000027402;1,15E-13;1,47E-13;0,000022911;0,000032065;1,76E-05;3,12E-09
2,25;2,01E-26;0,000021491;8,03E-14;8,46E-14;0,000022165;0,000034902;2,14E-05;2,60E-09
2,5;1,39E-26;0,000016873;5,57E-14;4,90E-14;0,000021115;0,000036961;2,51E-05;2,17E-09
2,75;9,71E-27;0,000013308;3,87E-14;2,87E-14;0,00001992;0,00003838;2,84E-05;1,81E-09
3;6,85E-27;0,000010568;2,72E-14;1,71E-14;0,000018685;0,000039296;3,15E-05;1,52E-09
3,25;4,90E-27;0,00000846;1,92E-14;1,04E-14;0,000017474;0,000039828;3,42E-05;1,28E-09
3,5;3,54E-27;6,83E-06;1,38E-14;6,41E-15;0,000016324;0,000040083;3,68E-05;1,08E-09
3,75;2,59E-27;5,56E-06;1,00E-14;4,04E-15;0,00001525;0,000040121;3,91E-05;9,25E-10
4;1,92E-27;4,57E-06;7,36E-15;2,60E-15;0,000014258;0,000040007;4,12E-05;7,94E-10
4,25;1,44E-27;3,79E-06;5,48E-15;1,70E-15;0,000013349;0,000039783;4,31E-05;6,86E-10
4,5;1,09E-27;3,16E-06;4,12E-15;1,14E-15;0,000012518;0,000039486;4,48E-05;5,96E-10
4,75;8,39E-28;2,66E-06;3,14E-15;7,70E-16;0,00001176;0,000039131;4,65E-05;5,21E-10
5;6,49E-28;2,26E-06;2,42E-15;5,30E-16;0,000011068;0,000038733;4,79E-05;4,58E-10
5,25;5,07E-28;1,93E-06;1,88E-15;3,70E-16;0,000010437;0,000038313;4,93E-05;4,04E-10
5,5;3,99E-28;1,65E-06;1,47E-15;2,62E-16;9,86E-06;0,000037883;5,06E-05;3,59E-10
5,75;3,17E-28;1,43E-06;1,17E-15;1,88E-16;9,33E-06;0,000037442;5,18E-05;3,19E-10
6;2,54E-28;1,24E-06;9,30E-16;1,37E-16;8,85E-06;0,000036998;5,29E-05;2,86E-10
6,25;2,04E-28;1,08E-06;7,48E-16;1,01E-16;8,40E-06;0,00003655;5,40E-05;2,57E-10
6,5;1,66E-28;9,50E-07;6,05E-16;7,47E-17;8,00E-06;0,00003611;5,49E-05;2,32E-10
6,75;1,35E-28;8,37E-07;4,94E-16;5,60E-17;7,62E-06;0,00003568;5,59E-05;2,10E-10
7;1,11E-28;7,41E-07;4,05E-16;4,24E-17;7,27E-06;0,000035254;5,67E-05;1,90E-10
7,25;9,15E-29;6,58E-07;3,34E-16;3,24E-17;6,95E-06;0,000034833;5,76E-05;1,73E-10
7,5;7,58E-29;5,87E-07;2,77E-16;2,50E-17;6,65E-06;0,000034423;5,83E-05;1,58E-10
7,75;6,32E-29;5,25E-07;2,31E-16;1,94E-17;6,37E-06;0,000034023;5,91E-05;1,45E-10
8;5,29E-29;4,72E-07;1,94E-16;1,52E-17;6,11E-06;0,000033633;5,98E-05;1,33E-10
8,25;4,44E-29;4,25E-07;1,63E-16;1,19E-17;5,87E-06;0,000033257;6,05E-05;1,22E-10
8,5;3,75E-29;3,84E-07;1,38E-16;9,47E-18;5,64E-06;0,000032887;6,11E-05;1,13E-10
8,75;3,17E-29;3,48E-07;1,17E-16;7,55E-18;5,43E-06;0,000032527;6,17E-05;1,04E-10
9;2,70E-29;3,16E-07;1,00E-16;6,06E-18;5,23E-06;0,000032176;6,23E-05;9,63E-11
9,25;2,30E-29;2,88E-07;8,56E-17;4,89E-18;5,05E-06;0,000031831;6,28E-05;8,93E-11
9,5;1,97E-29;2,63E-07;7,35E-17;3,96E-18;4,87E-06;0,000031499;6,34E-05;8,29E-11
9,75;1,69E-29;2,41E-07;6,33E-17;3,23E-18;4,71E-06;0,000031175;6,39E-05;7,72E-11
10;1,45E-29;2,21E-07;5,47E-17;2,65E-18;4,55E-06;0,000030859;6,44E-05;7,19E-11
10,25;1,25E-29;2,03E-07;4,74E-17;2,18E-18;4,40E-06;0,000030556;6,48E-05;6,72E-11
10,5;1,08E-29;1,87E-07;4,12E-17;1,80E-18;4,26E-06;0,000030258;6,53E-05;6,28E-11
10,75;9,37E-30;1,73E-07;3,59E-17;1,50E-18;4,13E-06;0,000029968;6,57E-05;5,88E-11
11;8,14E-30;1,60E-07;3,13E-17;1,25E-18;4,01E-06;0,000029685;6,62E-05;5,51E-11
11,25;7,09E-30;1,48E-07;2,74E-17;1,04E-18;3,89E-06;0,000029405;6,66E-05;5,17E-11
11,5;6,18E-30;1,37E-07;2,41E-17;8,75E-19;3,78E-06;0,000029136;6,69E-05;4,86E-11
11,75;5,40E-30;1,27E-07;2,12E-17;7,37E-19;3,67E-06;0,000028874;6,73E-05;4,57E-11
12;4,73E-30;1,19E-07;1,87E-17;6,23E-19;3,57E-06;0,000028619;6,77E-05;4,30E-11
12,25;4,15E-30;1,10E-07;1,65E-17;5,28E-19;3,47E-06;0,000028369;6,80E-05;4,05E-11
12,5;3,64E-30;1,03E-07;1,46E-17;4,50E-19;3,38E-06;0,000028129;6,84E-05;3,83E-11
